,,,,,,,01/01/2017
code,name,description,refreshed_at,from_date,to_date,,Start Date
ALCOG,Cogra (ALCOG),Stock Prices for Cogra from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALCOI,Coil (ALCOI),Stock Prices for Coil from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALCOR,Biocorp (ALCOR),Stock Prices for Biocorp from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,10/07/2015,10/01/2019,,TRUE
ALCOT,Cofidur (ALCOT),Stock Prices for Cofidur from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,28/06/2017 15:58,28/06/2017,28/06/2017,,FALSE
ALCRB,Carbios (ALCRB),Stock Prices for Carbios from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALCRE,Aroundtown Sa (ALCRE),Stock Prices for Aroundtown Sa from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,04/12/2017 17:15,24/03/2017,04/12/2017,,FALSE
ALCRM,Crm Company Group (ALCRM),Stock Prices for Crm Company Group from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,08/09/2016 15:58,14/02/2014,16/05/2014,,TRUE
ALCYB,Cybergun (ALCYB),Stock Prices for Cybergun from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALCYT,Cybergun (ALCYT),Stock Prices for Cybergun from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,24/10/2016 15:58,24/10/2016,24/10/2016,,TRUE
ALD,Ald (ALD),Stock Prices for Ald from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,16/06/2017,10/01/2019,,FALSE
ALDAR,Damartex (ALDAR),Stock Prices for Damartex from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALDBL,Bernard Loiseau (ALDBL),Stock Prices for Bernard Loiseau from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALDBT,Dbt (ALDBT),Stock Prices for Dbt from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,23/12/2015,10/01/2019,,TRUE
ALDEI,Deinove (ALDEI),Stock Prices for Deinove from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALDEL,Delfingen (ALDEL),Stock Prices for Delfingen from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALDEV,Devernois (ALDEV),Stock Prices for Devernois from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,20/05/2016,21/12/2018,,TRUE
ALDIE,Dietswell (ALDIE),Stock Prices for Dietswell from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALDIR,Direct Energie (ALDIR),Stock Prices for Direct Energie from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,18/11/2015 15:58,14/02/2014,17/11/2015,,TRUE
ALDLS,D L S I (ALDLS),Stock Prices for D L S I from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALDMO,Demos (ALDMO),Stock Prices for Demos from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,03/08/2017 15:58,14/02/2014,03/08/2017,,TRUE
ALDNE,Dontnod (ALDNE),Stock Prices for Dontnod from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,23/05/2018,10/01/2019,,FALSE
ALDOL,Dolphin Integrat (ALDOL),Stock Prices for Dolphin Integrat from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,16/08/2018,,TRUE
ALDR,Delta Drone (ALDR),Stock Prices for Delta Drone from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALDRV,Drone Volt (ALDRV),Stock Prices for Drone Volt from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,30/12/2015,10/01/2019,,TRUE
ALDUB,Encres Dubuit (ALDUB),Stock Prices for Encres Dubuit from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,13/12/2017,10/01/2019,,FALSE
ALDV,Adc Siic (ALDV),Stock Prices for Adc Siic from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,13/02/2014,27/12/2018,,TRUE
ALEBS,Emova Bs (ALEBS),Stock Prices for Emova Bs from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,30/05/2017,24/09/2018,,FALSE
ALECR,Eurofins Cerep (ALECR),Stock Prices for Eurofins Cerep from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,04/08/2014,12/12/2018,,TRUE
ALEDS,Emova Ds (ALEDS),Stock Prices for Emova Ds from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,05/04/2017 15:58,23/03/2017,05/04/2017,,FALSE
ALEFE,Efeso Consulting (ALEFE),Stock Prices for Efeso Consulting from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,22/02/2016 15:58,15/10/2015,11/02/2016,,TRUE
ALEHT,Diaxonhit (ALEHT),Stock Prices for Diaxonhit from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,27/06/2018 17:15,14/02/2014,27/06/2018,,TRUE
ALEMK,Emakina Group (ALEMK),Stock Prices for Emakina Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Brussels,10/01/2019 17:15,31/01/2014,10/01/2019,,TRUE
ALEMT,Emova Group (ALEMT),Stock Prices for Emova Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,06/11/2018 17:15,06/11/2018,06/11/2018,,FALSE
ALEMV,Emova Group (ALEMV),Stock Prices for Emova Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,07/04/2015,10/01/2019,,TRUE
ALENE,Enertime (ALENE),Stock Prices for Enertime from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,07/07/2016,10/01/2019,,TRUE
ALENR,Entreprendre (ALENR),Stock Prices for Entreprendre from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,10/02/2014,19/12/2018,,TRUE
ALENT,Entreparticuliers (ALENT),Stock Prices for Entreparticuliers from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALEO2,Eo2 (ALEO2),Stock Prices for Eo2 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALERS,Eurobio-scientific (ALERS),Stock Prices for Eurobio-scientific from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,28/06/2018,10/01/2019,,FALSE
ALESA,Ecoslops (ALESA),Stock Prices for Ecoslops from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,20/02/2015,10/01/2019,,TRUE
ALESK,Esker (ALESK),Stock Prices for Esker from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALETT,Diaxonhit (ALETT),Stock Prices for Diaxonhit from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,31/08/2017 15:58,31/08/2017,31/08/2017,,FALSE
ALEUA,Eurasia Groupe (ALEUA),Stock Prices for Eurasia Groupe from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,12/09/2013,02/01/2019,,TRUE
ALEUP,Europlasma (ALEUP),Stock Prices for Europlasma from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALEVA,Evadix (ALEVA),Stock Prices for Evadix from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Brussels,10/01/2019 17:15,13/02/2014,05/12/2018,,TRUE
ALEZV,Easyvista (ALEZV),Stock Prices for Easyvista from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALFAS,Alfa Laval (ALFAS),Stock Prices for Alfa Laval from the Euronext Stock Exchange. Currency: SEK. Market: Arca Europe,12/12/2014 20:30,15/02/2013,15/02/2013,,TRUE
ALFBA,Fashion B Air (ALFBA),Stock Prices for Fashion B Air from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,17/02/2014,10/01/2019,,TRUE
ALFEN,Alfen (ALFEN),Stock Prices for Alfen from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,22/03/2018,10/01/2019,,FALSE
ALFIG,Figeac Aero (ALFIG),Stock Prices for Figeac Aero from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,22/03/2016 15:58,14/02/2014,14/03/2016,,TRUE
ALFIL,Filae (ALFIL),Stock Prices for Filae from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,02/10/2015,09/01/2019,,TRUE
ALFOC,Focus Home Int (ALFOC),Stock Prices for Focus Home Int from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,16/02/2015,10/01/2019,,TRUE
ALFPC,Fountaine Pajot (ALFPC),Stock Prices for Fountaine Pajot from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALFRE,Freelance Com (ALFRE),Stock Prices for Freelance Com from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,13/02/2014,10/01/2019,,TRUE
ALFST,Technofirst (ALFST),Stock Prices for Technofirst from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,13/10/2015,09/01/2019,,TRUE
ALGAU,Gaussin (ALGAU),Stock Prices for Gaussin from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALGBE,Global Bioenergies (ALGBE),Stock Prices for Global Bioenergies from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALGCM,Concoursmania (ALGCM),Stock Prices for Concoursmania from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,19/07/2017 15:58,14/02/2014,19/07/2017,,TRUE
ALGEM,Eurogerm (ALGEM),Stock Prices for Eurogerm from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALGEN,Genoway (ALGEN),Stock Prices for Genoway from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALGEP,Global Ecopower (ALGEP),Stock Prices for Global Ecopower from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALGETO,Algeta (ALGETO),Stock Prices for Algeta from the Euronext Stock Exchange. Currency: NOK. Market: Arca Europe,12/12/2014 20:35,06/07/2012,06/07/2012,,TRUE
ALGEV,Gevelot (ALGEV),Stock Prices for Gevelot from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALGFT,Genfit (ALGFT),Stock Prices for Genfit from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Alternext Paris,16/04/2014 17:16,14/02/2014,15/04/2014,,TRUE
ALGIL,Groupe Guillin (ALGIL),Stock Prices for Groupe Guillin from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALGIS,Global Investment (ALGIS),Stock Prices for Global Investment from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,05/12/2017 17:15,30/01/2014,24/07/2014,,TRUE
ALGLD,Gold By Gold (ALGLD),Stock Prices for Gold By Gold from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALGOW,Lets Gowex (ALGOW),Stock Prices for Lets Gowex from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,09/10/2018 17:15,14/02/2014,02/07/2014,,TRUE
ALGUI,Leguide Com (ALGUI),Stock Prices for Leguide Com from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,17/09/2015 15:58,14/02/2014,16/09/2015,,TRUE
ALHEO,H2o Innovation Inc (ALHEO),Stock Prices for H2o Innovation Inc from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,03/01/2019,,TRUE
ALHER,Heracles (ALHER),Stock Prices for Heracles from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,08/09/2016 15:58,14/02/2014,02/12/2014,,TRUE
ALHIO,Hiolle Industries (ALHIO),Stock Prices for Hiolle Industries from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALHIT,Hitechpros (ALHIT),Stock Prices for Hitechpros from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALHOL,Holosfind (ALHOL),Stock Prices for Holosfind from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,30/06/2017,,TRUE
ALHOM,Homair Vacances (ALHOM),Stock Prices for Homair Vacances from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,12/02/2015 17:07,14/02/2014,09/02/2015,,TRUE
ALHOT,Homair Vacances (ALHOT),Stock Prices for Homair Vacances from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Alternext Paris,17/03/2014 19:41,17/03/2014,17/03/2014,,TRUE
ALHPC,Heurtey Petrochem (ALHPC),Stock Prices for Heurtey Petrochem from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,26/07/2018 17:15,14/02/2014,25/07/2018,,TRUE
ALHPT,Heurtey Petrochem (ALHPT),Stock Prices for Heurtey Petrochem from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,09/01/2017 15:58,04/01/2017,06/01/2017,,FALSE
ALHRG,Herige (ALHRG),Stock Prices for Herige from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,25/07/2018,10/01/2019,,FALSE
ALHSW,Horizontalsoftware (ALHSW),Stock Prices for Horizontalsoftware from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/12/2016,10/01/2019,,TRUE
ALHVS,Harvest (ALHVS),Stock Prices for Harvest from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALHYG,Hybrigenics (ALHYG),Stock Prices for Hybrigenics from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALI2S,I2s (ALI2S),Stock Prices for I2s from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,18/12/2018,,TRUE
ALICR,I Ceram (ALICR),Stock Prices for I Ceram from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,19/12/2014,10/01/2019,,TRUE
ALIDS,Idsud (ALIDS),Stock Prices for Idsud from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALIMO,Groupimo (ALIMO),Stock Prices for Groupimo from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,09/01/2019,,TRUE
ALIMP,Implanet (ALIMP),Stock Prices for Implanet from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,24/03/2017,10/01/2019,,FALSE
ALIMR,Immersion (ALIMR),Stock Prices for Immersion from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,07/01/2016,10/01/2019,,TRUE
ALIMT,Groupimo (ALIMT),Stock Prices for Groupimo from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,22/11/2017 17:15,22/11/2017,22/11/2017,,FALSE
ALINN,Millet Innovation (ALINN),Stock Prices for Millet Innovation from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,03/01/2019,,TRUE
ALINS,Intrasense (ALINS),Stock Prices for Intrasense from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALINT,Integragen (ALINT),Stock Prices for Integragen from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALINV,Invibes Advertsing (ALINV),Stock Prices for Invibes Advertsing from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,11/07/2018,10/01/2019,,FALSE
ALIOX,Innoveox (ALIOX),Stock Prices for Innoveox from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,16/01/2018 17:15,30/04/2014,15/03/2017,,TRUE
ALIPS,Qiagen Marseille (ALIPS),Stock Prices for Qiagen Marseille from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,10/06/2015 16:01,17/02/2014,15/05/2015,,TRUE
ALISA,Isa (ALISA),Stock Prices for Isa from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Lisbon,10/01/2019 17:15,03/12/2013,03/12/2013,,TRUE
ALISC,Iscool Entertain (ALISC),Stock Prices for Iscool Entertain from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,19/07/2017 15:58,14/02/2014,14/07/2017,,TRUE
ALIVA,Ivalis (ALIVA),Stock Prices for Ivalis from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,24/10/2017,,TRUE
ALJEM,Groupe Jemini (ALJEM),Stock Prices for Groupe Jemini from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,05/09/2014 17:06,30/10/2012,30/10/2012,,TRUE
ALKAL,Kalray (ALKAL),Stock Prices for Kalray from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,12/06/2018,10/01/2019,,FALSE
ALKDY,Kindy (ALKDY),Stock Prices for Kindy from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,01/09/2017 15:58,19/05/2014,30/05/2017,,TRUE
ALKEY,Keyyo (ALKEY),Stock Prices for Keyyo from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALKKO,Kko International (ALKKO),"Stock Prices for Kko International from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris, Brussels",10/01/2019 17:15,27/10/2015,10/01/2019,,TRUE
ALKKT,Kko International (ALKKT),"Stock Prices for Kko International from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Brussels, Paris",19/11/2018 17:15,19/11/2018,19/11/2018,,FALSE
ALKLK,Kerlink (ALKLK),Stock Prices for Kerlink from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,24/05/2016,10/01/2019,,TRUE
ALLBS,Lexibook Bs (ALLBS),Stock Prices for Lexibook Bs from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,30/11/2017 17:15,01/06/2017,30/11/2017,,FALSE
ALLEX,Lexibook Linguist (ALLEX),Stock Prices for Lexibook Linguist from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,31/07/2015,10/01/2019,,TRUE
ALLHB,Les Hotels Baverez (ALLHB),Stock Prices for Les Hotels Baverez from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,09/01/2019,,TRUE
ALLIX,Wallix (ALLIX),Stock Prices for Wallix from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,26/06/2015,10/01/2019,,TRUE
ALLLN,Lleida (ALLLN),Stock Prices for Lleida from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,19/12/2018,10/01/2019,,FALSE
ALLMG,The Blockchain Gp (ALLMG),Stock Prices for The Blockchain Gp from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,31/07/2018 17:15,29/08/2014,31/07/2018,,TRUE
ALLOG,Logic Instrument (ALLOG),Stock Prices for Logic Instrument from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,09/01/2019,,TRUE
ALLP,Login People (ALLP),Stock Prices for Login People from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,08/09/2016 15:58,14/02/2014,15/03/2016,,TRUE
ALM,Alpha Mos (ALM),Stock Prices for Alpha Mos from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,15/11/2013,10/01/2019,,TRUE
ALMAK,Makheia Group (ALMAK),Stock Prices for Makheia Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALMAS,Mastrad (ALMAS),Stock Prices for Mastrad from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
